회사명,종목코드
세미콘라이트,214310
세보엠이씨,011560
세종메디칼,258830
셀리드,299660
셀바스헬스케어,208370
수젠텍,253840
스튜디오썸머,008800
승일,049830
싸이토젠,217330
썸에이지,208640
쎄미시스코,136510
씨티젠,036170
아이씨디,040910
아이즈비전,031310
아이텍,119830
알에프세미,096610
알에프텍,061040
알테오젠,196170
알티캐스트,085810
액션스퀘어,205500
액트,131400
에스디시스템,121890
에스에프씨,112240
에스엔텍,160600
에스코넥,096630
에스티오,098660
에이씨티,138360
에이티넘인베스트,021080
에이피티씨,089970
에코마이스터,064510
에코마케팅,230360
에프에스티,036810
엑셈,205100
엘비세미콘,061970
엘아이에스,138690
연이정보통신,090740
영신금속,007530
오공,045060
오스템임플란트,048260
오이솔루션,138080
오픈베이스,049480
옵티팜,153710
와이지-원,019210
우리바이오,082850
원익큐브,014190
원풍물산,008290
웨이브일렉트로,095270
웰크론,065950
위지트,036090
유바이오로직스,206650
유테크,178780
육일씨엔에쓰,191410
이노인스트루먼트,215790
이상네트웍스,080010
이스트소프트,047560
이엔에프테크놀로지,102710
잉크테크,049550
제우스,079370
제이엔케이히터,126880
제이엠티,094970
제주반도체,080220
조아제약,034940
주성엔지니어링,036930
지엔코,065060
지투하이소닉,106080
진매트릭스,109820
창해에탄올,004650
케이피엠테크,042040
케이피티유,054410
켐트로스,220260
코센,009730
코스온,069110
코아스템,166480
코이즈,121850
코프라,126600
토탈소프트,045340
톱텍,108230
트루윈,105550
특수건설,026150
파세코,037070
파수닷컴,150900
파커스,065690
판타지오,032800
푸드웰,005670
푸른저축은행,007330
퓨전데이타,195440
프로스테믹스,203690
피델릭스,032580
피에스엠씨,024850
피에스케이,319660
하나금융10호스팩,270520
하이셈,200470
한국맥널티,222980
한국전자금융,063570
한국전자인증,041460
한류AI센터,222810
한양디지텍,078350
한일화학,007770
한컴MDS,086960
한화에이스스팩4호,279410
해성옵틱스,076610
헝셩그룹,900270
화성밸브,039610
화이브라더스코리아,204630
휴메딕스,200670
LPK로보틱스,183350
나눔테크,244880
두원석재,270020
래몽래인,200350
리메드,302550
시그넷이브이,260870
에듀파트너,208890
에스엘에스바이오,246250
에이원알폼,234070
에프앤가이드,064850
유비온,084440
이노벡스,279060
인카금융서비스,211050
전우정밀,120780
지놈앤컴퍼니,314130
테크트랜스,258050
티케이씨,191600
파워풀엑스,266870
BGF,027410
BNK금융지주,138930
CS홀딩스,000590
GKL,114090
GS건설,006360
KB금융,105560
LG디스플레이,034220
S&T모티브,064960
SG충방,001380
SK,034730
SKC,011790
금강공업,014280
금호산업,002990
금호에이치티,214330
남성,004270
넷마블,251270
대구백화점,006370
대림산업,000210
대양금속,009190
대우건설,047040
대한방직,001070
대한제강,084010
대한제당,001790
대현,016090
동방아그로,007590
동성코퍼레이션,102260
동양생명,082640
동원금속,018500
두산인프라코어,042670
두올,016740
디씨엠,024090
미원홀딩스,107590
백산,035150
범양건영,002410
보락,002760
보해양조,000890
사조대림,003960
사조동아원,008040
사조씨푸드,014710
삼부토건,001470
삼양식품,003230
삼원강재,023000
삼호,001880
서원,021050
세방,004360
세방전지,004490
세아홀딩스,058650
세이브존I&C,067830
송원산업,004430
신영와코루,005800
신일산업,002700
써니전자,004770
아시아나항공,020560
아이마켓코리아,122900
아이에이치큐,003560
에이블씨엔씨,078520
엔씨소프트,036570
영보화학,014440
영원무역,111770
영진약품,003520
영풍,000670
예스코홀딩스,015360
웅진,016880
유성기업,002920
유유제약,000220
유한양행,000100
이수화학,005950
이스타코,015020
인디에프,014990
일정실업,008500
조선선재,120030
종근당,185750
진에어,272450
진원생명과학,011000
케이티,030200
코스모화학,005420
코아스,071950
쿠쿠홀딩스,192400
큐로,015590
태경화학,006890
태영건설,009410
토니모리,214420
티비에이치글로벌,084870
티웨이항공,091810
하이트론씨스템즈,019490
하이트진로,000080
한국금융지주,071050
한국카본,017960
한국콜마홀딩스,024720
한국테크놀로지그룹,000240
한국토지신탁,034830
한국항공우주,047810
한솔테크닉스,004710
한전KPS,051600
해태제과식품,101530
현대중공업,009540
현대중공업지주,267250
현대해상,001450
화승인더스트리,006060
화천기공,000850
환인제약,016580
효성티앤씨,298020
APS홀딩스,054620
CJ ENM,035760
CMG제약,058820
CS,065770
EG,037370
HRS,036640
IBKS제9호스팩,297570
KG모빌리언스,046440
KMH,122450
KPX생명과학,114450
MP그룹,065150
PN풍년,024940
SBI핀테크솔루션즈,950110
SCI평가정보,036120
SGA솔루션즈,184230
SM Life Design,063440
SNK,950180
SV인베스트먼트,289080
감마누,192410
게임빌,063080
골든센츄리,900280
광림,014200
광진실업,026910
국영지앤엠,006050
국일신동,060480
나노,187790
나노엔텍,039860
나우아이비캐피탈,293580
내츄럴엔도텍,168330
네오위즈홀딩스,042420
넥스턴,089140
뉴로스,126870
뉴지랩,214870
뉴파워프라즈마,144960
뉴프라이드,900100
대동금속,020400
대명코퍼레이션,007720
대아티아이,045390
대유에이피,290120
대주전자재료,078600
대창솔루션,096350
덕우전자,263600
동방선기,099410
동부스팩5호,281740
동아엘텍,088130
동양피엔에프,104460
디아이티,110990
디알텍,214680
디에스티,033430
디자인,227100
라이브플렉스,050120
러셀,217500
로고스바이오,238120
마이크로텍,227950
매일유업,267980
메디아나,041920
메이슨캐피탈,021880
메타바이오메드,059210
모두투어,080160
모아텍,033200
모트렉스,118990
미래SCI,028040
미래에셋벤처투자,100790
미투온,201490
베셀,177350
보라티알,250000
브이원텍,251630
블루콤,033560
비아트론,141000
비츠로셀,082920
비트컴퓨터,032850
빛샘전자,072950
삼륭물산,014970
삼양옵틱스,225190
삼영이엔씨,065570
삼일,032280
삼일기업공사,002290
삼지전자,037460
삼진,032750
삼화네트웍스,046390
상신이디피,091580
상아프론테크,089980
상지카일룸,042940
서린바이오,038070
서울제약,018680
서전기전,189860
서진시스템,178320
성우하이텍,015750
세명전기,017510
손오공,066910
슈펙스비앤피,058530
스타플렉스,115570
신라에스지,025870
씨큐브,101240
씨트리,047920
아가방컴퍼니,013990
아모텍,052710
아미코젠,092040
아이에이,038880
액트로,290740
앱클론,174900
에스에스알,275630
에스엠,041510
에스퓨얼셀,288620
에이스테크,088800
에코프로비엠,247540
에프알텍,073540
엔에이치스팩12호,273060
엔에이치스팩14호,319400
엔지켐생명과학,183490
엘티씨,170920
엠아이텍,179290
엠젠플러스,032790
연우,115960
영화테크,265560
예림당,036000
예스24,053280
오르비텍,046120
오리엔트정공,065500
옴니텔,057680
옵티시스,109080
우리기술투자,041190
우리손에프앤지,073560
우수AMS,066590
원익,032940
원일특강,012620
유니테스트,086390
유에스티,263770
유지인트,195990
유틸렉스,263050
이글루시큐리티,067920
이글벳,044960
이노와이어리스,073490
이녹스,088390
이스트아시아홀딩스,900110
이엠텍,091120
인크로스,216050
인터파크,108790
인포바인,115310
인포뱅크,039290
자이글,234920
정상제이엘에스,040420
제넨바이오,072520
제이스텍,090470
제일바이오,052670
제일제강,023440
지노믹트리,228760
지니뮤직,043610
지와이커머스,111820
참좋은여행,094850
캐스텍코리아,071850
케이씨에스,115500
케이씨피드,025880
코데즈컴바인,047770
코디,080530
코렌,078650
코메론,049430
코미팜,041960
코웰패션,033290
코위버,056360
콜마비앤에이치,200130
쿠첸,225650
크로바하이텍,043590
크리스에프앤씨,110790
키움제5호스팩,311270
타이거일렉,219130
테고사이언스,191420
테스나,131970
토필드,057880
투비소프트,079970
티비씨,033830
파루,043200
파인디지털,038950
파인테크닉스,106240
패션플랫폼,225590
팬엔터테인먼트,068050
팬젠,222110
풍강,093380
피에스케이홀딩스,031980
피에스텍,002230
하나마이크론,067310
하나머스트제6호스팩,307160
하림,136480
하이록코리아,013030
한국경제TV,039340
한국알콜,017890
한국유니온제약,080720
한국팩키지,037230
한화에이스스팩3호,264290
핸디소프트,220180
현대공업,170030
형지I&C,011080
휴맥스홀딩스,028080
KC산업,112190
TS트릴리온,284610
노브메타파마,229500
듀켐바이오,176750
비플라이소프트,148780
썬테크,217320
에스알바이오텍,270210
옐로페이,179720
위세아이텍,065370
자비스,230400
제놀루션,225220
주노콜렉션,221670
테크엔,308700
플럼라인생명과학,222670
휴럼,284420
CJ,001040
CJ헬로,037560
HDC,012630
HDC현대산업개발,294870
KPX케미칼,025000
KR모터스,000040
LG상사,001120
MH에탄올,023150
S-Oil,010950
SBS,034120
SBS미디어홀딩스,101060
SK텔레콤,017670
TCC스틸,002710
YG PLUS,037270
고려개발,004200
국동,005320
국제약품,002720
금양,001570
남광토건,001260
남영비비안,002070
넥센타이어,002350
녹십자홀딩스,005250
농심홀딩스,072710
다스코,058730
대상홀딩스,084690
대웅제약,069620
대한유화,006650
덕성,004830
동서,026960
동아지질,028100
동양네트웍스,030790
동원산업,006040
디아이,003160
디와이,013570
디티알오토모티브,007340
디피씨,026890
맥쿼리인프라,088980
메디파트너생명공학,015540
메타랩스,090370
명문제약,017180
모토닉,009680
미원화학,134380
베트남개발1,096300
빙그레,005180
삼성에스디에스,018260
삼성중공업,010140
삼성증권,016360
삼양통상,002170
삼영무역,002810
삼정펄프,009770
샘표식품,248170
성보화학,003080
세아제강,306200
시디즈,134790
신성이엔지,011930
신세계푸드,031440
신영증권,001720
신화실업,001770
쌍방울,102280
아세아시멘트,183190
애경유화,161000
에어부산,298690
엔에스쇼핑,138250
엔에이치엔,181710
유니온,000910
유니켐,011330
유진증권,001200
유화증권,003460
일성신약,003120
조비,001550
종근당바이오,063160
지코,010580
진양홀딩스,100250
진양화학,051630
컨버즈,109070
코스맥스비티아이,044820
코스모신소재,005070
태평양물산,007980
텔코웨어,078000
티웨이홀딩스,004870
퍼시스,016800
풍산홀딩스,005810
하나니켈1호,099340
하이스틸,071090
한국공항,005430
한국석유공업,004090
한국수출포장공업,002200
한국자산신탁,123890
한국주강,025890
한섬,020000
한솔홀딩스,004150
한신기계공업,011700
한일현대시멘트,006390
한진중공업,097230
한화에어로스페이스,012450
현대그린푸드,005440
형지엘리트,093240
효성 ITX,094280
효성화학,298000
휴니드테크놀러지스,005870
AP위성,211270
DB금융스팩7호,322780
IBKS제10호스팩,299170
JTC,950170
KCC건설,021320
KCI,036670
KG ETS,151860
MP한강,219550
NHN벅스,104200
SBS콘텐츠허브,046140
SKC코오롱PI,178920
SK바이오랜드,052260
W홀딩컴퍼니,052300
경창산업,024910
기가레인,049080
나노신소재,121600
넥슨지티,041140
넵튠,217270
노바렉스,194700
다산네트웍스,039560
다원시스,068240
대성파인텍,104040
대신밸런스제4호스팩,262830
대원산업,005710
대유,290380
데코앤이,017680
동신건설,025950
동일기연,032960
듀오백,073190
디엔에이링크,127120
디엠티,134580
디젠스,113810
디지아이,043360
디지털대성,068930
램테크놀러지,171010
럭슬,033600
로보스타,090360
로스웰,900260
리드코프,012700
린드먼아시아,277070
마이크로프랜드,147760
메디톡스,086900
메디포스트,078160
메지온,140410
모바일리더,100030
모바일어플라이언스,087260
미래에셋제5호스팩,239340
바른전자,064520
바이오니아,064550
바이오제네틱스,044480
바텍,043150
베뉴지,019010
보령메디앙스,014100
부방,014470
브리지텍,064480
비씨월드제약,200780
비즈니스온,138580
비피도,238200
삼본전자,111870
삼진엘앤디,054090
삼천리자전거,024950
삼현철강,017480
서부T&D,006730
서산,079650
서플러스글로벌,140070
성우테크론,045300
셀루메드,049180
셀리버리,268600
소프트센,032680
솔본,035610
시공테크,020710
시노펙스,025320
신라젠,215600
신성델타테크,065350
신스타임즈,056000
쎄노텍,222420
쎄트렉아이,099320
쎌바이오텍,049960
씨엔플러스,115530
아비코전자,036010
아이오케이,078860
아진엑스텍,059120
아프리카TV,067160
에너전트,041590
에스마크,030270
에스앤씨엔진그룹,900080
에스에프에이,056190
에이디칩스,054630
에이스침대,003800
에이치시티,072990
에이프로젠 H&G,109960
에프엔에스테크,083500
엘디티,096870
엠에스오토텍,123040
오텍,067170
와이엔텍,067900
원익QnC,074600
원익머트리얼즈,104830
원익홀딩스,030530
원풍,008370
웹스,196700
웹젠,069080
웹케시,053580
위닉스,044340
위메이드,112040
윈팩,097800
윙입푸드,900340
유비쿼스,264450
유비쿼스홀딩스,078070
유진테크,084370
유티아이,179900
이건홀딩스,039020
이노메트리,302430
이랜텍,054210
이매진아시아,036260
이수앱지스,086890
이원컴포텍,088290
인성정보,033230
인탑스,049070
재영솔루텍,049630
정산애강,022220
제미니투자,019570
제이에스티나,026040
제이웨이,058420
제이티,089790
조이맥스,101730
지니언스,263860
진바이오텍,086060
진성티이씨,036890
캠시스,050110
케이피에프,024880
코나아이,052400
코다코,046070
코리아에프티,123410
큐브엔터,182360
키네마스터,139670
탑엔지니어링,065130
토비스,051360
티로보틱스,117730
티씨케이,064760
티피씨글로벌,130740
파나진,046210
파라다이스,034230
파멥신,208340
파크시스템스,140860
팍스넷,038160
포메탈,119500
포스링크,056730
프로텍,053610
피앤씨테크,237750
피제이메탈,128660
필옵틱스,161580
하나금융11호스팩,284620
한국제7호스팩,291210
한국캐피탈,023760
한국코퍼레이션,050540
한솔시큐어,070300
한솔씨앤피,221610
한일네트웍스,046110
한일진공,123840
한화에스비아이스팩,317320
현대사료,016790
현대정보기술,026180
화신테크,086250
휴젤,145020
희림,037440
데이터스트림즈,199150
드림티엔터테인먼트,220110
미애부,225850
미코바이오메드,214610
바이오프로테크,199290
세종머티리얼즈,135270
수프로,185190
시큐센,232830
씨앤에스링크,245450
에스앤디,260970
에스엔피제네틱스,086460
에스엠비나,299670
에스제이켐,217910
에이비온,203400
엠에프엠코리아,251960
이엠티,232530
지오씨,135160
케미메디,205290
태양기계,116100
티에스아이,277880
포인트엔지니어링,176560
한중엔시에스,107640
AJ네트웍스,095570
DB하이텍,000990
DSR제강,069730
HDC아이콘트롤스,039570
JW홀딩스,096760
KSS해운,044450
LF,093050
LG하우시스,108670
LG화학,051910
LIG넥스원,079550
LS,006260
NAVER,035420
NH투자증권,005940
NI스틸,008260
SH에너지화학,002360
SK디앤디,210980
SK증권,001510
SK하이닉스,000660
강원랜드,035250
경인양행,012610
경인전자,009140
금비,008870
기신정기,092440
기업은행,024110
나노메딕스,074610
남선알미늄,008350
대교,019680
대동전자,008110
대림비앤코,005750
대창,012800
대한제분,001130
덕양산업,024900
동국제강,001230
동방,004140
동일제강,002690
동화약품,000020
디아이씨,092200
디와이파워,210540
롯데관광개발,032350
롯데정밀화학,004000
롯데지주,004990
롯데하이마트,071840
맵스리얼티1,094800
무림P&P,009580
미래아이앤지,007120
바다로19호,155900
부산주공,005030
사조해표,079660
삼성물산,028260
삼성전자,005930
삼성제약,001360
삼익THK,004380
삼일제약,000520
삼진제약,005500
삼화왕관,004450
서연,007860
성신양회,004980
세기상사,002420
세우글로벌,013000
세원정공,021820
셀트리온,068270
신라교역,004970
신성통상,005390
씨에스윈드,112610
아모레퍼시픽,090430
아세아,002030
아세아제지,002310
아이에스동서,010780
애경산업,018250
에스원,012750
에이리츠,140910
에이엔피,015260
엔케이,085310
엔피씨,004250
영원무역홀딩스,009970
우신시스템,017370
우진아이엔에스,010400
우진플라임,049800
웅진에너지,103130
유니드,014830
유안타증권,003470
유양디앤유,011690
이건산업,008250
이월드,084680
조광페인트,004910
조선내화,000480
지엠비코리아,013870
참엔지니어링,009310
케이씨씨,002380
코리아오토글라스,152330
코오롱글로벌,003070
코오롱머티리얼,144620
콤텍시스템,031820
쿠쿠홈시스,284740
키위미디어그룹,012170
페이퍼코리아,001020
포스코,005490
포스코강판,058430
하나니켈2호,099350
하나제약,293480
한국화장품제조,003350
한독,002390
한솔피엔에스,010420
한양증권,001750
한전산업,130660
한진중공업홀딩스,003480
한진칼,180640
한화케미칼,009830
현대제철,004020
DSC인베스트먼트,241520
IBKS제5호스팩,254120
IBKS제6호스팩,264850
IBKS제7호스팩,276920
SDN,099220
SK4호스팩,307070
SKC 솔믹스,057500
SK머티리얼즈,036490
UCI,038340
WI,073570
가비아,079940
경남스틸,039240
교보7호스팩,267320
국순당,043650
글로벌텍스프리,204620
글로본,019660
나노캠텍,091970
나라엠앤디,051490
나무기술,242040
나이벡,138610
네패스,033640
녹십자랩셀,144510
대성미생물,036480
대신밸런스제5호스팩,303030
대양전기공업,108380
대창스틸,140520
대한과학,131220
덕신하우징,090410
동국산업,005160
동국제약,086450
동진쎄미켐,005290
디에스케이,109740
디오스텍,196450
딜리,131180
라이온켐텍,171120
로지시스,067730
루미마이크로,082800
리켐,131100
링네트,042500
머큐리,100590
메가스터디교육,215200
메카로,241770
모헨즈,006920
미래에셋대우스팩2호,310200
미스터블루,207760
바이넥스,053030
바이온,032980
비디아이,148140
비에이치아이,083650
사람인에이치알,143240
삼원테크,073640
상보,027580
상신전자,263810
새로닉스,042600
서원인텍,093920
서호전기,065710
성호전자,043260
세원물산,024830
셀트리온제약,068760
수산아이앤티,050960
슈프리마에이치큐,094840
스튜디오드래곤,253450
신원종합개발,017000
씨씨에스,066790
씨앤지하이테크,264660
씨젠,096530
아스타,246720
아스트,067390
아시아종묘,154030
아우딘퓨쳐스,227610
아이크래프트,052460
에스넷,038680
에스모,073070
에스제이케이,080440
에스텍파마,041910
에이치엔티,176440
에이치케이,044780
에코플라스틱,038110
엑사이엔씨,054940
엔에스,217820
엔에이치스팩10호,256630
엘오티베큠,083310
엘컴텍,037950
엠벤처투자,019590
엠씨넥스,097520
옵트론텍,082210
우리산업홀딩스,072470
우리이앤엘,153490
윈하이텍,192390
유비벨록스,089850
유성티엔에스,024800
이녹스첨단소재,272290
이루온,065440
이엑스티,226360
이엘케이,094190
이지케어텍,099750
일야,058450
전파기지국,065530
제낙스,065620
제노레이,122310
제노포커스,187420
제로투세븐,159580
제룡전기,033100
제이씨현시스템,033320
젬백스,082270
중앙오션,054180
지스마트글로벌,114570
체리부로,066360
초록뱀,047820
케이맥,043290
케이아이엔엑스,093320
케이엔더블유,105330
코너스톤네트웍스,033110
코드네이처,078940
코렌텍,104540
코맥스,036690
코세스,089890
코스맥스엔비티,222040
코스메카코리아,241710
코엔텍,029960
코오롱티슈진,950160
코텍,052330
큐리언트,115180
큐캐피탈,016600
크리스탈신소재,900250
티케이케미칼,104480
티플랙스,081150
파인디앤씨,049120
팜스웰바이오,043090
팜스토리,027710
퍼시픽바이오,060900
풍국주정,023900
피씨디렉트,051380
피씨엘,241820
픽셀플러스,087600
한국아트라스비엑스,023890
한국제5호스팩,271740
한국컴퓨터,054040
한일사료,005860
한컴시큐어,054920
효성오앤비,097870
휴림로봇,090710
대원모방,311840
대주이엔티,114920
바이오코아,216400
빅텐츠,210120
씨알푸드,236030
에브리봇,270660
위월드,140660
줌인터넷,229480
질경이,233990
청광종건,140290
파인이엠텍,278990
피노텍,150440
AJ렌터카,068400
BGF리테일,282330
CJ제일제당,097950
DB금융투자,016610
DGB금융지주,139130
E1,017940
GS,078930
HDC현대EP,089470
KEC,092220
KISCO홀딩스,001940
LG,003550
LS전선아시아,229640
S&TC,100840
S&T중공업,003570
S&T홀딩스,036530
SK디스커버리,006120
SPC삼립,005610
계룡건설산업,013580
녹십자,006280
대덕전자,008060
대우조선해양,042660
더블유게임즈,192080
더존비즈온,012510
덴티움,145720
동부제철,016380
동원F&B,049770
두산밥캣,241560
두산중공업,034020
드림텍,192650
디아이동일,001530
롯데제과,280360
만호제강,001080
모나미,005360
문배철강,008420
미래에셋생명,085620
미창석유공업,003650
백광산업,001340
벽산,007210
부광약품,003000
부산도시가스,015350
비상교육,100220
삼성공조,006660
삼성생명,032830
삼성전기,009150
삼화전기,009470
샘표,007540
서흥,008490
세진중공업,075580
세화아이엠씨,145210
수산중공업,017550
신세계I&C,035510
신세계건설,034300
신원,009270
에이프로젠 KIC,007460
오리온,271560
우리금융지주,316140
우리종금,010050
우성사료,006980
웰바이오텍,010600
이아이디,093230
인천도시가스,034590
일동홀딩스,000230
일진디스플,020760
일진머티리얼즈,020150
조광피혁,004700
진흥기업,002780
청호컴넷,012600
카카오,035720
케이씨티시,009070
케이티스카이라이프,053210
코리안리,003690
크라운해태홀딩스,005740
태원물산,001420
팬오션,028670
평화산업,090080
한국프랜지공업,010100
한미글로벌,053690
한샘,009240
한세엠케이,069640
한솔케미칼,014680
한온시스템,018880
현대로템,064350
현대상선,011200
현대엘리베이터,017800
현대오토에버,307950
혜인,003010
화성산업,002460
화신,010690
효성,004800
휴비스,079980
3S,060310
CNH,023460
DMS,068790
KH바텍,060720
KMH하이텍,052900
KTH,036030
SG&G,040610
SGA,049470
SM C&C,048550
TPC,048770
가온미디어,078890
강스템바이오텍,217730
경남제약,053950
경동제약,011040
고영,098460
골드퍼시픽,038530
광진윈텍,090150
구영테크,053270
국보디자인,066620
국일제지,078130
글로벌에스엠,900070
나이스정보통신,036800
남화토건,091590
네오셈,253590
네오위즈,095660
네이블커뮤니케이션즈,153460
노바텍,285490
뉴보텍,060260
다날,064260
다우데이타,032190
대동기어,008830
대원,007680
대원미디어,048910
동국S&C,100130
동아화성,041930
동양파일,228340
디앤씨미디어,263720
디지탈옵틱,106520
디티앤씨,187220
마제스타,035480
모다이노칩,080420
모베이스,101330
바른테크놀로지,029480
바이오스마트,038460
본느,226340
비덴트,121800
비엠티,086670
삼기오토모티브,122350
삼보모터스,053700
삼영엠텍,054540
삼천당제약,000250
서울옥션,063170
서한,011370
성도이엔지,037350
성우전자,081580
세종텔레콤,036630
수성,084180
스맥,099440
스카이문스테크놀로지,033790
스페코,013810
시그네틱스,033170
시너지이노베이션,048870
신신제약,002800
신영스팩4호,307180
신화인터텍,056700
신흥에스이씨,243840
아나패스,123860
아모그린텍,125210
아이디스,143160
아이센스,099190
아이엠,101390
아즈텍WB,032080
안트로젠,065660
알리코제약,260660
알엔투테크놀로지,148250
앤디포스,238090
야스,255440
양지사,030960
어보브반도체,102120
에너토크,019990
에버다임,041440
에스앤에스텍,101490
에스에이엠티,031330
에스와이,109610
에스티큐브,052020
에스피지,058610
에이디테크놀로지,200710
에이치엘비파워,043220
에이텍티앤,224110
에이티세미콘,089530
에코바이오,038870
에프앤리퍼블릭,064090
엔브이에이치코리아,067570
엔에스엔,031860
엔에이치스팩13호,310840
엔피케이,048830
엘앤케이바이오,156100
엘엠에스,073110
엠케이전자,033160
오스테오닉,226400
오킨스전자,080580
와이디온라인,052770
와이엠씨,155650
와이엠티,251370
우노앤컴퍼니,114630
우리산업,215360
우리조명,037400
웰크론강원,114190
유니슨,018000
유니크,011320
유아이디,069330
유아이엘,049520
이더블유케이,258610
이엠넷,123570
이엠코리아,095190
이테크건설,016250
이퓨쳐,134060
이화공영,001840
인선이엔티,060150
인터불스,158310
인텔리안테크,189300
인포마크,175140
인프라웨어,041020
인피니트헬스케어,071200
일신바이오,068330
잉글우드랩,950140
전진바이오팜,110020
정다운,208140
정원엔시스,045510
제넥신,095700
좋은사람들,033340
중앙백신,072020
지어소프트,051160
청보산업,013720
칩스앤미디어,094360
카스,016920
컬러레이,900310
케어랩스,263700
케이비17호스팩,317030
케이사인,192250
켐온,217600
크린앤사이언스,045520
태웅,044490
팅크웨어,084730
파라텍,033540
파마리서치프로덕트,214450
파이오링크,170790
파인텍,131760
펩트론,087010
평화정공,043370
푸드나무,290720
프리엠스,053160
플랜티넷,075130
피앤텔,054340
하나머티리얼즈,166090
하이텍팜,106190
한국선재,025550
한국정보공학,039740
한국큐빅,021650
한류타임즈,039670
한양이엔지,045100
한프,066110
현성바이탈,204990
현우산업,092300
홈캐스트,064240
화신정공,126640
휴네시온,290270
흥구석유,024060
힘스,238490
SGA임베디드,224880
골프존데카,183410
그린플러스,186230
디피코,163430
로보쓰리,238500
명진홀딩스,267060
미디어젠,279600
비나텍,126340
비엔디생활건강,215050
비엔에프코퍼레이션,271780
셀젠텍,258250
소프트캠프,210610
씨앗,103660
아이엘사이언스,122050
엘리비젼,276240
엘에이티,311060
유투바이오,221800
이에스산업,241510
제노텍,066830
젠큐릭스,229000
큐엠씨,136660
포레스팅블록체인,227420
피엔에이치테크,239890
CJ CGV,079160
DB,012030
DB손해보험,005830
F&F,007700
GS리테일,007070
JW생명과학,234080
KC그린홀딩스,009440
LG유플러스,032640
LG전자,066570
LS산전,010120
STX중공업,071970
경농,002100
경방,000050
광동제약,009290
교보증권,030610
국도화학,007690
금호타이어,073240
기아자동차,000270
남해화학,025860
대림통상,006570
대웅,003090
대원강업,000430
대원전선,006340
대원화성,024890
동부건설,005960
동성제약,002210
동양고속,084670
동양철관,008970
동원수산,030720
동일고무벨트,163560
롯데정보통신,286940
롯데칠성음료,005300
만도,204320
메리츠화재,000060
무학,033920
미원에스씨,268280
백광소재,014580
부국철강,026940
부산산업,011390
삼광글라스,005090
삼성엔지니어링,028050
삼양패키징,272550
삼익악기,002450
삼천리,004690
서울식품공업,004410
선창산업,002820
성창기업지주,000180
세종공업,033530
세하,027970
신한,005450
쌍용자동차,003620
씨아이테크,004920
아모레퍼시픽그룹,002790
아시아나IDT,267850
아주캐피탈,033660
